n,code
1,Y
2,Y
3,Y
4,Y
5,Y
6,Y
7,Y
8,Y
9,Y
10,N
11,Y
12,N
13,Y
14,N
15,N
16,Y
17,N
18,N
19,Y
20,N
21,Y
22,X
23,X
24,X
25,X
26,X
27,X
28,X
29,X
30,X
31,X
32,X
33,X
34,N
35,N
36,N
37,N
38,N
39,N
40,Y
41,N
42,N
43,N
44,N
45,N
46,Y
47,Y
48,Y
49,Y
50,Y
51,Y
52,Y
53,N
54,Y
55,Y
56,Y
57,Y
58,N
59,N
60,N
61,N
62,N
63,Y
64,Y
65,N
66,Y
67,Y
68,Y
69,N
70,N
71,Y
72,N
73,N
74,N
75,N
76,N
77,Y
78,Y
79,Y
80,X
81,Y
82,Y
83,Y
84,N
85,Y
86,Y
87,Y
88,Y
89,N
90,N
91,X
92,Y
93,N
94,Y
95,N
96,N
97,N
98,N
99,N
100,N
101,Y
102,N
103,Y
104,N
105,Y
